,sample,IGSN,source,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHODS,ANALYZED MATERIAL,ROCK TYPE,sample_type,MINERAL,TECTONIC SETTING,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,HLY0102-040-081,,"DAY, 2017",HLY0102,85.4473,14.5628,0.0001,-4450.0,-4450.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,HARZBURGITE,,SPREADING_CENTER,0.0672,0.0354,0.0156,0.0656,0.015,0.0046,0.0206,0.0036,0.0253,0.0066,0.0199,0.003,0.0236,0.0043
1,HLY0102-047-010,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,86.04,31.16,0.0001,-4018.0,-4017.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,8.09,20.4,3.0,15.14,4.67,1.53,5.1,0.91,6.2,1.22,3.3,0.5,3.5,0.45
2,HLY0102-051-033,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,86.555,43.5492,0.0001,-3589.0,-3589.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.7,13.5,2.0,10.49,3.17,1.15,3.9,0.7,4.5,0.93,2.5,0.38,2.3,0.34
3,HLY0102-052-001,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,86.5183,42.1383,0.0001,-3822.0,-3822.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.99,15.6,2.3,11.9,3.43,1.31,4.0,0.72,4.6,0.83,2.8,0.36,2.6,0.37
4,HLY0102-055-019,,"MICHAEL, 2015; YANG YANG, 2021",HLY0102,87.0308,59.4708,0.0001,-4173.5,-4173.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.08,6.9,1.24,6.37,2.26,0.94,3.22,0.59,4.38,0.95,2.91,0.44,2.94,0.419
5,HLY0102-055-019,,"YANG YANG, 2021",HLY0102,87.0308,59.4708,0.0001,-4173.5,-4173.5,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.08,6.94,1.18,6.37,2.26,0.901,3.242,0.62,4.32,0.99,2.85,0.459,3.05,0.452
6,HLY0102-058-007,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,86.53,70.0,0.0001,-3103.0,-3102.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.74,15.1,2.4,11.95,3.69,1.22,4.6,0.76,4.7,0.93,2.9,0.41,2.3,0.39
7,HLY0102-061-005,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,85.64,85.05,0.0001,-3870.0,-3869.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.11,12.5,1.9,10.48,3.22,1.05,3.9,0.64,4.4,0.94,2.4,0.38,2.4,0.29
8,HLY0102-063-026,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,85.63,84.58,0.0001,-3939.0,-3938.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.28,14.8,1.8,11.06,3.32,1.12,3.6,0.66,4.3,0.93,2.4,0.33,2.3,0.33
9,HLY0102-068-003,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,86.58,71.64,0.0001,-3964.0,-3964.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.4,17.1,2.3,13.24,3.89,1.28,4.4,0.79,4.7,1.02,3.0,0.41,2.9,0.4
11,HLY0102-070-075,,"DAY, 2017",HLY0102,86.75,64.72,0.0001,-4129.0,-4328.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,LHERZOLITE,,SPREADING_CENTER,0.0488,0.0397,0.016,0.0991,0.0542,0.0247,0.1023,0.0257,0.2116,0.053,0.1707,0.0275,0.1936,0.0304
12,HLY0102-081-131,,"MICHAEL, 2015; YANG YANG, 2021",HLY0102,86.6475,46.6117,0.0001,-4892.5,-4892.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,0.99,3.1,0.55,3.39,1.55,0.72,2.45,0.47,3.31,0.72,2.21,0.31,2.11,0.311
13,HLY0102-084-014,,"VAN DER ZWAN, 2017",HLY0102,86.44,39.87,0.0001,-5169.0,-5169.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.6,19.5,2.8,14.2,4.4,1.4,5.7,0.98,6.3,1.36,4.0,0.55,3.7,0.54
14,HLY0102-086-029,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,86.35,39.07,0.0001,-4913.0,-4912.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.08,17.9,2.8,13.62,4.35,1.34,4.9,0.84,5.5,1.16,3.3,0.49,3.3,0.51
