short reference,DOI,authors,title,journal,year
"YI, 2014",https://doi.org/10.1080/00206814.2014.955539,"YI, S-B; OH, C-W; PAK, S J; KIM, J; MOON, J-W","GEOCHEMISTRY AND PETROGENESIS OF MAFIC-ULTRAMAFIC ROCKS FROM THE CENTRAL INDIAN RIDGE, LATITUDE 8°–17° S: DENUDATION OF MANTLE HARZBURGITES AND GABBROIC ROCKS AND COMPOSITIONAL VARIATION OF BASALTS",INT GEOL REV,2014
"EASON, 2015",https://doi.org/10.1007/s00445-015-0916-0,"EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D","EFFECTS OF DEGLACIATION ON THE PETROLOGY AND ERUPTIVE HISTORY OF THE WESTERN VOLCANIC ZONE, ICELAND",BULLETIN OF VOLCANOLOGY,2015
"HUANG, 2018",https://doi.org/10.1002/2017jb015287,"HUANG, J; CHEN, S; ZHANG, X-C; HUANG, F","EFFECTS OF MELT PERCOLATION ON ZN ISOTOPE HETEROGENEITY IN THE MANTLE: CONSTRAINTS FROM PERIDOTITE MASSIFS IN IVREA-VERBANO ZONE, ITALIAN ALPS",JOURNAL OF GEOPHYSICAL RESEARCH: SOLID EARTH,2018
"CHEN, 2018",https://doi.org/10.1002/gj.3179,"CHEN, ZX; ZENG, Z-G; YIN, X-B; WANG, X-Y; ZHANG, Y; CHEN, S; SHU, YC; GUO, K; LI, X-H",PETROGENESIS OF HIGHLY FRACTIONATED RHYOLITES IN THE SOUTHWESTERN OKINAWA TROUGH: CONSTRAINTS FROM WHOLE-ROCK GEOCHEMISTRY DATA AND SR-ND-PB-O ISOTOPES,GEOLOGICAL JOURNAL,2018
"CHEN, 2018",https://doi.org/10.1016/j.lithos.2018.07.014,"CHEN, L; ZHENG, Y-F; ZHAO, Z-F",GEOCHEMICAL INSIGHTS FROM CLINOPYROXENE PHENOCRYSTS INTO THE EFFECT OF MAGMATIC PROCESSES ON PETROGENESIS OF INTERMEDIATE VOLCANICS,LITHOS,2018
"YANG, 2015",https://doi.org/10.1007/s13131-015-0759-8,"YANG, S; FANG, N",GEOCHEMICAL VARIATION OF VOLCANIC ROCKS FROM THE SOUTH CHINA SEA AND NEIGHBORING LAND: IMPLICATION FOR MAGMATIC PROCESS AND MANTLE STRUCTURE,ACTA OCEANOLOGICA SINICA,2015
"CHOE, 2007",https://doi.org/10.1007/BF02913932,"CHOE, W; LEE, J-I; LEE, M J; HUR, S; JIN, Y","ORIGIN OF E-MORB IN A FOSSIL SPREADING CENTER: THE ANTARCTIC-PHOENIX RIDGE, DRAKE PASSAGE, ANTARCTICA",GEOSCIENCES JOURNAL,2007
"IKEDA, 2016",https://doi.org/10.1111/iar.12150,"IKEDA, Y; NAGAO, K; ISHII, T; MATSUMOTO, D; STERN, R J; KAGAMI, H; ARIMA, M; BLOOMER, S H","CONTRIBUTIONS OF SLAB FLUID AND SEDIMENT MELT COMPONENTS TO MAGMATISM IN THE MARIANA ARC-TROUGH SYSTEM: EVIDENCE FROM GEOCHEMICAL COMPOSITIONS AND SR, ND, AND NOBLE GAS ISOTOPE SYSTEMATICS",ISLAND ARC,2016
"BARKER, 2013",https://doi.org/10.1093/petrology/egs071,"BARKER, S J; WILSON, C J N; BAKER, J A; MILLET, M-A; ROTELLA, M; WRIGHT, I C; WYSOCZANSKI, R",GEOCHEMISTRY AND PETROGENESIS OF SILICIC MAGMAS IN THE INTRA-OCEANIC KERMADEC ARC,J PETROL,2013
"BROOKER, 2004",https://doi.org/10.1016/j.chemgeo.2004.08.007,"BROOKER, R A; JAMES, R H; BLUNDY, J D",TRACE ELEMENTS AND Li ISOTOPE SYSTEMATICS IN ZABARGAD PERIDOTITES: EVIDENCE OF ANCIENT SUBDUCTION PROCESSES IN THE RED SEA MANTLE,CHEMICAL GEOLOGY,2004
"ZHOU, 2017",https://doi.org/10.1130/b31653.1,"ZHOU, Q; LIU, Z; LAI, Y; WANG, G-C; LIAO, Z; LI, Y-X; WU, J-Y; WANG, S; QING, C-S","PETROGENESIS OF MAFIC AND FELSIC ROCKS FROM THE COMEI LARGE IGNEOUS PROVINCE, SOUTH TIBET: IMPLICATIONS FOR THE INITIAL ACTIVITY OF THE KERGUELEN PLUME",GSA BULLETIN,2017
"ZULEGER, 1996",https://doi.org/10.2973/odp.proc.sr.148.112.1996,"ZULEGER, E; ALT, J C; ERZINGER, J","DATA REPORT: TRACE-ELEMENT GEOCHEMISTRY OF THE LOWER SHEETED DIKE COMPLEX, HOLE 504B LEG 140)","PROC ODP, SCI RESULTS",1996
"HAASE, 2011",https://doi.org/10.1016/j.chemgeo.2010.11.002,"HAASE, K M; BEIER, C; FRETZDORFF, S; LEAT, P T; LIVERMORE, R A; BARRY, T L; PEARCE, J A; HAUFF, F","MAGMATIC EVOLUTION OF A DYING SPREADING AXIS: EVIDENCE FOR THE INTERACTION OF TECTONICS AND MANTLE HETEROGENEITY FROM THE FOSSIL PHOENIX RIDGE, DRAKE PASSAGE",CHEMICAL GEOLOGY,2011
