,REE,removed REE,n,p05,p95,mean,SD,skewness,kurtosis
0,La,none,13266,-1.981647339078299,2.1328436861494824,0.14177631467351087,1.2331032771294284,-0.04041593563278826,1.6473058353854197
1,La,Pr,13266,-2.0331731468820475,2.1492835872146787,0.16751917397555308,1.2502113866887736,-0.13208515456941072,1.669441365145513
2,La,"Pr, Dy",13266,-2.042661397905274,2.1202290784388014,0.14754538961673824,1.2420236265696558,-0.11005398016569565,1.7031674070937797
3,La,"Pr, Dy, Ho",13266,-2.0383939858570037,2.1290061126393924,0.15695609459781154,1.2416517083298901,-0.13718901682859144,1.6774136672603897
4,La,"Pr, Dy, Ho, Er (INNA)",13266,-1.8797885403042751,2.220750315525788,0.3114732330648665,1.230238119692726,-0.20676973128426782,1.5656745666345842
5,Ce,none,12594,-4.553462610145973,5.171848217259949,-0.007087146314134238,2.8888274175242326,0.20444486086138158,1.1736111843626889
6,Ce,Pr,12733,-4.35041794897738,4.616230763718868,-0.15967307098421865,2.6927809146637407,0.34419911910715506,1.5598071217875091
7,Ce,"Pr, Dy",12738,-4.319416846921613,4.648329773943464,-0.13635175169176048,2.688169010395648,0.32381775321686423,1.5899370254536258
8,Ce,"Pr, Dy, Ho",12739,-4.327244493018315,4.625945475053154,-0.17177680756916508,2.6850861526024685,0.35344130625591,1.567166836231359
9,Ce,"Pr, Dy, Ho, Er (INNA)",12764,-4.493603104381115,4.278746202899771,-0.4976119876010919,2.660512243258743,0.42536624410500906,1.5300528636272803
10,Pr,none,13266,-4.156736877174555,4.070931771812552,-0.21523194517028782,2.8042009499661043,0.44865434458690273,6.226225094678174
11,Pr,Pr,13266,-7.319261768349783,7.669650494412833,-0.27970750721412213,5.645136289808471,1.2311578105872834,13.434513949022485
12,Pr,"Pr, Dy",13266,-7.360391831897367,7.720530319255181,-0.22175548187483848,5.645743938753892,1.2580559712729789,13.328958513838568
13,Pr,"Pr, Dy, Ho",13266,-7.3587747295912465,7.67415863328173,-0.23104788113918606,5.6339566528662415,1.2297998363776472,13.305088429482971
14,Pr,"Pr, Dy, Ho, Er (INNA)",13266,-7.5433467818764335,7.37055880143529,-0.4686730435914202,5.56072916372673,1.1863416065904735,13.271483211635733
15,Nd,none,13266,-4.832061336448707,4.136518045502823,-0.1742613969675194,2.965738549971267,0.2533717600316304,5.381783809174989
16,Nd,Pr,13266,-4.62294349557966,3.598656917565468,-0.3318985905832769,2.5431026268685044,0.18061379276544595,2.769481534842166
17,Nd,"Pr, Dy",13266,-4.570138449305594,3.657449355544701,-0.2843179854347432,2.54651643854064,0.20739817263338095,2.7529321063506593
18,Nd,"Pr, Dy, Ho",13266,-4.503416020096152,3.724286246599479,-0.22989872714218704,2.5414051224713976,0.19074502379135805,2.7266920823960223
19,Nd,"Pr, Dy, Ho, Er (INNA)",13266,-4.484623048312821,3.868182435765799,-0.10333117314272106,2.571086745684901,0.13031726988917572,2.615738828123386
20,Sm,none,13266,-5.225358145102796,6.396372164237496,0.3129840611952089,3.7500932545677426,0.3616220619270249,2.8501092018374807
21,Sm,Pr,13266,-5.147403134026004,6.258185375433634,0.2765629667633858,3.6688290217426385,0.365536751746242,2.872674219726804
22,Sm,"Pr, Dy",13266,-5.169551306890735,6.173721995910392,0.24184288011362218,3.6704447709750694,0.3678320916998213,2.879833403926484
23,Sm,"Pr, Dy, Ho",13266,-5.127385875086437,6.254818635982007,0.29323700252536933,3.656820940476209,0.35210125355369354,2.8418746486647652
24,Sm,"Pr, Dy, Ho, Er (INNA)",13266,-4.730352958902984,6.660368175100778,0.6619885207205239,3.6187078750664843,0.34043737664921364,2.812703641477275
25,Eu,none,11340,-5.789094288411425,8.090403898256406,1.3013416896250485,4.091371977559559,-0.1596131903151905,-0.3853086049791292
26,Eu,Pr,11346,-5.796782118491272,8.097339701100669,1.307781171111411,4.099188279648867,-0.16404056719223428,-0.390002039494731
27,Eu,"Pr, Dy",11379,-5.810577221549147,8.054569216312737,1.2637384790606345,4.087459018274257,-0.16157149720731234,-0.3963685925906657
28,Eu,"Pr, Dy, Ho",11380,-5.789875473922898,8.03693896924911,1.2514889871358148,4.087245518739628,-0.1585285999711095,-0.39981588148226477
29,Eu,"Pr, Dy, Ho, Er (INNA)",11381,-5.7217903223213735,8.119137440922009,1.3685604896806223,4.078647027607151,-0.18127668468588828,-0.36423671119718515
30,Gd,none,13266,-6.5091084599278455,6.957229706424478,-0.11916587351406241,4.165739893645423,0.3620497212857668,2.7935665213371523
31,Gd,Pr,13266,-6.456801859181724,6.959748159556922,-0.09668677960351714,4.131854173186272,0.3446450760150818,2.775325413681868
